"projectId","processedWAlevin","technology"
"E-MTAB-5802","FALSE","SMART-like"
"E-MTAB-6051","FALSE","SMART-like"
"E-MTAB-6058","FALSE","SMART-like"
"E-MTAB-6075","FALSE","SMART-like"
"E-MTAB-6077","FALSE","SMART-like"
"E-MTAB-6108","TRUE","Droplet-based"
"E-MTAB-6142","FALSE","SMART-like"
"E-MTAB-6173","TRUE","Droplet-based"
"E-MTAB-6308","TRUE","Droplet-based"
"E-MTAB-6362","FALSE","SMART-like"
"E-MTAB-6379","FALSE","SMART-like"
"E-MTAB-6385","FALSE","SMART-like"
"E-MTAB-6386","FALSE","SMART-like"
"E-MTAB-6487","TRUE","Droplet-based"
"E-MTAB-6505","TRUE","Droplet-based"
"E-MTAB-6524","TRUE","Droplet-based"
"E-MTAB-6653","TRUE","Droplet-based"
"E-MTAB-6677","TRUE","Droplet-based"
"E-MTAB-6678","FALSE","SMART-like"
"E-MTAB-6701","TRUE","Droplet-based"
"E-MTAB-6818","FALSE","SMART-like"
"E-MTAB-6819","FALSE","SMART-like"
"E-MTAB-6879","FALSE","SMART-like"
"E-MTAB-6911","FALSE","SMART-like"
"E-MTAB-6912","FALSE","SMART-like"
"E-MTAB-6925","FALSE","SMART-like"
"E-MTAB-6945","TRUE","Droplet-based"
"E-MTAB-6946","TRUE","Droplet-based"
"E-MTAB-6970","FALSE","SMART-like"
"E-MTAB-6976","TRUE","Droplet-based"
"E-MTAB-6987","FALSE","SMART-like"
"E-MTAB-7008","FALSE","SMART-like"
"E-MTAB-7037","FALSE","SMART-like"
"E-MTAB-7051","FALSE","SMART-like"
"E-MTAB-7052","FALSE","SMART-like"
"E-MTAB-7078","FALSE","SMART-like"
"E-MTAB-7094","TRUE","Droplet-based"
"E-MTAB-7098","FALSE","SMART-like"
"E-MTAB-7117","FALSE","SMART-like"
"E-MTAB-7142","TRUE","Droplet-based"
"E-MTAB-7149","TRUE","Droplet-based"
"E-MTAB-7159","TRUE","Droplet-based"
"E-MTAB-7194","TRUE","Droplet-based"
"E-MTAB-7195","TRUE","Droplet-based"
"E-MTAB-7249","FALSE","SMART-like"
"E-MTAB-7303","FALSE","SMART-like"
"E-MTAB-7311","TRUE","Droplet-based"
"E-MTAB-7316","TRUE","Droplet-based"
"E-MTAB-7320","TRUE","Droplet-based"
"E-MTAB-7324","TRUE","Droplet-based"
"E-MTAB-7325","TRUE","Droplet-based"
"E-MTAB-7365","FALSE","SMART-like"
"E-MTAB-7376","TRUE","Droplet-based"
"E-MTAB-7381","FALSE","SMART-like"
"E-MTAB-7407","TRUE","Droplet-based"
"E-MTAB-7417","TRUE","Droplet-based"
"E-MTAB-7427","FALSE","SMART-like"
"E-MTAB-7606","FALSE","SMART-like"
"E-MTAB-7660","TRUE","Droplet-based"
"E-MTAB-7678","TRUE","Droplet-based"
"E-MTAB-7703","TRUE","Droplet-based"
"E-MTAB-7704","TRUE","Droplet-based"
"E-MTAB-7869","TRUE","Droplet-based"
"E-MTAB-7895","TRUE","Droplet-based"
"E-MTAB-7901","FALSE","SMART-like"
"E-MTAB-8002","TRUE","Droplet-based"
"E-MTAB-8060","TRUE","Droplet-based"
"E-MTAB-8077","TRUE","Droplet-based"
"E-MTAB-8142","TRUE","Droplet-based"
"E-MTAB-8145","TRUE","Droplet-based"
"E-MTAB-8205","TRUE","Droplet-based"
"E-MTAB-8207","TRUE","Droplet-based"
"E-MTAB-8221","TRUE","Droplet-based"
"E-MTAB-8263","TRUE","Droplet-based"
"E-MTAB-8271","TRUE","Droplet-based"
"E-MTAB-8312","TRUE","Droplet-based"
"E-MTAB-8322","TRUE","Droplet-based"
"E-MTAB-8360","FALSE","SMART-like"
"E-MTAB-8362","FALSE","SMART-like"
"E-MTAB-8381","TRUE","Droplet-based"
"E-MTAB-8410","TRUE","Droplet-based"
"E-MTAB-8414","FALSE","SMART-like"
